Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date
XXX,journalArticle,2013,"Carl G. Wagner, Bruce Tonn",Constructing Lower Probabilities,,,,,http://arxiv.org/abs/1303.1516v1,"An elaboration of Dempster's method of constructing belief functions suggests
a broadly applicable strategy for constructing lower probabilities under a
variety of evidentiary constraints.",2022-11-13 15:58:06
XXX,journalArticle,2009,Ji Han,A Rational Decision Maker with Ordinal Utility under Uncertainty: Optimism and Pessimism,,,,,http://arxiv.org/abs/0912.5073v2,"In game theory and artificial intelligence, decision making models often
involve maximizing expected utility, which does not respect ordinal invariance.
In this paper, the author discusses the possibility of preserving ordinal
invariance and still making a rational decision under uncertainty.",2022-11-13 15:58:06
XXX,journalArticle,2011,"Tor Lattimore, Marcus Hutter",Asymptotically Optimal Agents,"Proc. 22nd International Conf. on Algorithmic Learning Theory
  (ALT-2011) pages 368-382",,,,http://arxiv.org/abs/1107.5537v1,"Artificial general intelligence aims to create agents capable of learning to
solve arbitrary interesting problems. We define two versions of asymptotic
optimality and prove that no agent can satisfy the strong version while in some
cases, depending on discounting, there does exist a non-computable weak
asymptotically optimal agent.",2022-11-13 15:58:07
XXX,journalArticle,2013,"Paul E. Lehner, Azar Sadigh",Two Procedures for Compiling Influence Diagrams,,,,,http://arxiv.org/abs/1303.1494v1,"Two algorithms are presented for ""compiling"" influence diagrams into a set of
simple decision rules. These decision rules define simple-to-execute, complete,
consistent, and near-optimal decision procedures. These compilation algorithms
can be used to derive decision procedures for human teams solving time
constrained decision problems.",2022-11-13 15:58:07
XXX,journalArticle,2013,"Ross D. Shachter, David Heckerman",A Backwards View for Assessment,,,,,http://arxiv.org/abs/1304.3107v1,"Much artificial intelligence research focuses on the problem of deducing the
validity of unobservable propositions or hypotheses from observable evidence.!
Many of the knowledge representation techniques designed for this problem
encode the relationship between evidence and hypothesis in a directed manner.
Moreover, the direction in which evidence is stored is typically from evidence
to hypothesis.",2022-11-13 15:58:08
XXX,journalArticle,2015,George Konidaris,Constructing Abstraction Hierarchies Using a Skill-Symbol Loop,,,,,http://arxiv.org/abs/1509.07582v1,"We describe a framework for building abstraction hierarchies whereby an agent
alternates skill- and representation-acquisition phases to construct a sequence
of increasingly abstract Markov decision processes. Our formulation builds on
recent results showing that the appropriate abstract representation of a
problem is specified by the agent's skills. We describe how such a hierarchy
can be used for fast planning, and illustrate the construction of an
appropriate hierarchy for the Taxi domain.",2022-11-13 15:58:08
XXX,journalArticle,2015,Toby Walsh,Turing's Red Flag,,,,,http://arxiv.org/abs/1510.09033v1,"Sometime in the future we will have to deal with the impact of AI's being
mistaken for humans. For this reason, I propose that any autonomous system
should be designed so that it is unlikely to be mistaken for anything besides
an autonomous sysem, and should identify itself at the start of any interaction
with another agent.",2022-11-13 15:58:09
XXX,journalArticle,2017,Roman V. Yampolskiy,The Singularity May Be Near,,,,,http://arxiv.org/abs/1706.01303v1,"Toby Walsh in 'The Singularity May Never Be Near' gives six arguments to
support his point of view that technological singularity may happen but that it
is unlikely. In this paper, we provide analysis of each one of his arguments
and arrive at similar conclusions, but with more weight given to the 'likely to
happen' probability.",2022-11-13 15:58:09
XXX,journalArticle,2019,"James D. Miller, Roman Yampolskiy",An AGI with Time-Inconsistent Preferences,,,,,http://arxiv.org/abs/1906.10536v1,"This paper reveals a trap for artificial general intelligence (AGI) theorists
who use economists' standard method of discounting. This trap is implicitly and
falsely assuming that a rational AGI would have time-consistent preferences. An
agent with time-inconsistent preferences knows that its future self will
disagree with its current self concerning intertemporal decision making. Such
an agent cannot automatically trust its future self to carry out plans that its
current self considers optimal.",2022-11-13 15:58:10
XXX,journalArticle,2019,"Guillaume Escamocher, Barry O'Sullivan",Solving Logic Grid Puzzles with an Algorithm that Imitates Human Behavior,,,,,http://arxiv.org/abs/1910.06636v1,"We present in this paper our solver for logic grid puzzles. The approach used
by our algorithm mimics the way a human would try to solve the same problem.
Every progress made during the solving process is accompanied by a detailed
explanation of our program's reasoning. Since this reasoning is based on the
same heuristics that a human would employ, the user can easily follow the given
explanation.",2022-11-13 15:58:11
