Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Rohin_Shah_Blurb
XBZAPQFK,blogPost,2020,"Kokotajlo, Daniel",Three kinds of competitiveness,AI Impacts,,,,https://aiimpacts.org/three-kinds-of-competitiveness/,"By Daniel Kokotajlo In this post, I distinguish between three different kinds of competitiveness -- Performance, Cost, and Date -- and explain why I think these distinctions are worth the brainspace they occupy. For example, they help me introduce and discuss a problem for AI safety proposals having to do with aligned AIs being outcompeted...",2020-03-30,2022-01-30 01:53:10,2022-01-30 01:53:10,2021-11-20 18:55:39,,,,,,,,,,,,,,en-US,,,,,,,ZSCC: NoCitationData[s0]  ACC: N/A  Section: Blog,,/Users/jacquesthibodeau/Zotero/storage/PU9A2KS8/three-kinds-of-competitiveness.html,,UnsortedSafety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BQCZM53S,blogPost,2021,"Clarke, Sam; Martin, Samuel Dylan",Distinguishing AI takeover scenarios,AI Alignment Forum,,,,https://www.alignmentforum.org/posts/qYzqDtoQaZ3eDDyxa/distinguishing-ai-takeover-scenarios,"Epistemic status: lots of this involves interpreting/categorising other people’s scenarios, and could be wrong. We’d really appreciate being corrected if so. [ETA: so far, no corrections.] TLDR: see the summary table. In the last few years, people have proposed various AI takeover scenarios. We think this type of scenario building is great, since there are now more concrete ideas of what AI takeover could realistically look like. That said, we have been confused for a while about how the different scenarios relate to each other and what different assumptions they make. This post might be helpful for anyone who has similar confusions. We focus on explaining the differences between seven prominent scenarios: the  ‘Brain-in-a-box’ scenario, ‘What failure looks like’ part 1 (WFLL 1), ‘What failure looks like’ part 2 (WFLL 2), ‘Another (outer) alignment failure story’  (AAFS), ‘Production Web’, ‘Flash economy’ and ‘Soft takeoff leading to decisive strategic advantage’. While these scenarios do not capture alI of the risks from transformative AI, participants in a recent survey aimed at leading AI safety/governance researchers estimated the first three of these scenarios to cover 50% of existential catastrophes from AI.[1] We plan to follow up with a subsequent post, which discusses some of the issues raised here in greater depth. VARIABLES RELATING TO AI TAKEOVER SCENARIOS We define AI takeover to be a scenario where the most consequential decisions about the future get made by AI systems with goals that aren’t desirable by human standards. There are three variables which are sufficient to distinguish the takeover scenarios discussed in this post. We will briefly introduce these three variables, and a number of others that are generally useful for thinking about takeover scenarios. Key variables for distinguishing the AI takeover scenarios in this post:  * Speed. Is there a sudden jump in AI capabilities over a very short period    (i.e. much faster than what we",2021-09-08,2022-01-30 04:47:42,2022-01-30 04:47:42,2021-11-18 23:45:23,,,,,,,,,,,,,,,,,,,,,ZSCC: NoCitationData[s0]  ACC: N/A,,/Users/jacquesthibodeau/Zotero/storage/ENAMQXCU/distinguishing-ai-takeover-scenarios.html,,UnsortedSafety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D95GDF2T,blogPost,2020,"Wentworth, John",Toy Problem: Detective Story Alignment,AI Alignment Forum,,,,https://www.alignmentforum.org/posts/4kYkYSKSALH4JaQ99/toy-problem-detective-story-alignment,"Suppose I train some simple unsupervised topic model (e.g. LDA) on a bunch of books. I look through the topics it learns, and find one corresponding to detective stories. The problem: I would like to use the identified detective-story cluster to generate detective stories from GPT. The hard part: I would like to do this in such a way that the precision of the notion of detective-stories used by the final system is not limited by the original simple model. Here’s what that means, visually. The space of real-world books has some clusters in it: One of those clusters is the detective-story cluster. The simple model approximates those clusters using something simple - for the sake of visualization, ellipses: The more complex model (e.g. GPT) presumably has a much more precise approximation of the shape of the clusters: So, we’d like to use the simple model to identify one of the clusters, but then still use the full power of the complex model to sample from that cluster. Of course, GPT may not contain a single variable corresponding to a cluster-id, which is largely what makes the problem interesting. GPT may not internally use a notion of “cluster” at all. However, the GPT model should still contain something (approximately) isomorphic to the original cluster, since that real pattern is still in the data/environment: since there is a real cluster of ""detective stories"" in the data/environment itself, the GPT model should also contain that cluster, to the extent that the GPT model matches the data/environment. In particular, the “precision not limited by original model” requirement rules out the obvious strategy of generating random samples from GPT and selecting those which the simple model labels as detective-stories. If we do that, then we’ll end up with some non-detective-stories in the output, because of shortcomings in the simple model’s notion of detective-stories. Visually, we’d be filtering based on the ellipse approximation of the cluster, which is exac",2020-10-13,2022-01-30 04:48:47,2022-01-30 04:48:47,2021-11-08 23:30:38,,,,,,,Toy Problem,,,,,,,,,,,,,,ZSCC: NoCitationData[s0]  ACC: N/A,,/Users/jacquesthibodeau/Zotero/storage/MWR5EK7V/toy-problem-detective-story-alignment.html,,UnsortedSafety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF3G8A6B,blogPost,2020,"Riedel, Jess; Deibel, Angelica",TAI Safety Bibliographic Database,AI Alignment Forum,,,,https://www.alignmentforum.org/posts/4DegbDJJiMX2b3EKm/tai-safety-bibliographic-database,"Authors: Jess Riedel and Angelica Deibel Cross-posted to EA Forum In this post we present the first public version of our bibliographic database of research on the safety of transformative artificial intelligence (TAI). The primary motivations for assembling this database were to:  1. Aid potential donors in assessing organizations focusing on TAI safety by     collecting and analyzing their research output.  2. Assemble a comprehensive bibliographic database that can be used as a base     for future projects, such as a living review of the field. The database contains research works motivated by, and substantively informing, the challenge of ensuring the safety of TAI, including both technical and meta topics. This initial version of the database has attempted comprehensive coverage only for traditionally formatted research produced in 2016-2020 by organizations with a significant safety focus (~360 items). The database also has significant but non-comprehensive coverage (~570 items) of earlier years, less traditional formats (e.g., blog posts), and non-safety-focused organizations. Usefully, we also have citation counts for essentially all the items for which that is applicable. The core database takes the form of a Zotero library. Snapshots are also available as Google Sheet, CSV, and Zotero RDF. (Compact version for easier human reading: Google Sheet, CSV.) The rest of this post describes the composition of the database in more detail and presents some high-level quantitative analysis of the contents. In particular, our analysis includes:  * Lists of the most cited TAI safety research for each of the past few years    (Tables 2 and 3)  * A chart showing how written TAI safety research output has changed since 2016    (Figure 1).  * A visualization of the degree of collaboration on TAI safety between    different research organizations (Table 4).  * A chart showing how the format of written research varied between    organizations, e.g., manuscripts vs. jou",2020-12-22,2022-01-30 04:48:47,2022-01-30 04:48:47,2021-11-13 14:31:43,,,,,,,,,,,,,,,,,,,,,ZSCC: NoCitationData[s0]  ACC: N/A,,,,UnsortedSafety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AICDKECS,blogPost,2020,"Muehlhauser, Luke",Our AI governance grantmaking so far,Open Philanthropy,,,,https://www.openphilanthropy.org/blog/ai-governance-grantmaking,"When the Soviet Union began to fracture in 1991, the world was forced to reckon with the first collapse of a nuclear superpower in history.My thanks to Nathan Calvin for his help researching and drafting these opening paragraphs about the Nunn-Lugar Act. The USSR was home to more than 27,000",2020-12-16,2022-01-30 04:48:47,2022-01-30 04:48:47,2021-11-13 14:33:13,,,,,,,,,,,,,,en,,,,,,,ZSCC: NoCitationData[s1]  ACC: N/A,,,,UnsortedSafety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K3XMEA86,blogPost,2020,"Xu, Mark",The Solomonoff Prior is Malign,,,,,https://www.alignmentforum.org/posts/Tr7tAyt5zZpdTwTQK/the-solomonoff-prior-is-malign,"This argument came to my attention from this post by Paul Christiano. I also found this clarification helpful. I found these counter-arguments stimulating and have included some discussion of them. Very little of this content is original. My contributions consist of fleshing out arguments and constructing examples. Thank you to Beth Barnes and Thomas Kwa for helpful discussion and comments. WHAT IS THE SOLOMONOFF PRIOR? The Solomonoff prior is intended to answer the question ""what is the probability of X?"" for any X, where X is a finite string over some finite alphabet. The Solomonoff prior is defined by taking the set of all Turing machines (TMs) which output strings when run with no input and weighting them proportional to2−K, whereKis the description length of the TM (informally its size in bits). The Solomonoff prior says the probability of a string is the sum over all the weights of all TMs that print that string. One reason to care about the Solomonoff prior is that we can use it to do a form of idealized induction. If you have seen 0101 and want to predict the next bit, you can use the Solomonoff prior to get the probability of 01010 and 01011. Normalizing gives you the chances of seeing 1 versus 0, conditioned on seeing 0101. In general, any process that assigns probabilities to all strings in a consistent way can be used to do induction in this way. This post provides more information about Solomonoff Induction. WHY IS IT MALIGN? Imagine that you wrote a programming language called python^10 that works as follows: First, it takes all alpha-numeric chars that are not in literals and checks if they're repeated 10 times sequentially. If they're not, they get deleted. If they are, they get replaced by a single copy. Second, it runs this new program through a python interpreter. Hello world in python^10: ppppppppprrrrrrrrrriiiiiiiiiinnnnnnnnnntttttttttt('Hello, world!') Luckily, python has an exec function that executes literals as code. This lets us w",2020-10-13,2022-01-30 04:48:47,2022-01-30 04:48:47,2021-11-08 23:25:30,,,,,,,,,,,,,,,,,,,,,ZSCC: NoCitationData[s0]  ACC: N/A,,/Users/jacquesthibodeau/Zotero/storage/JSBHRC49/the-solomonoff-prior-is-malign.html,,UnsortedSafety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHAC26JP,blogPost,2020,"Branwen, Gwern",The Scaling Hypothesis,,,,,https://www.gwern.net/Scaling-hypothesis,"On GPT-3: meta-learning, scaling, implications, and deep theory. The scaling hypothesis: neural nets absorb data & compute, generalizing and becoming more Bayesian as problems get harder, manifesting new abilities even at trivial-by-global-standards-scale. The deep learning revolution has begun as foretold.",2020-05-28,2022-01-30 04:48:47,2022-01-30 04:48:47,2021-11-14 18:58:38,,,,,,,,,,,,,,en-us,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,ZSCC: NoCitationData[s0]  ACC: N/A,,/Users/jacquesthibodeau/Zotero/storage/6N626N6Q/Scaling-hypothesis.html,,UnsortedSafety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5Q2FQC3T,blogPost,2020,"Shimi, Adam","The ""Backchaining to Local Search"" Technique in AI Alignment",AI Alignment Forum,,,,https://www.alignmentforum.org/posts/qEjh8rpxjG4qGtfuK/the-backchaining-to-local-search-technique-in-ai-alignment,"In the spirit of this post by John S. Wentworth, this is a reference for a technique I learned from Evan Hubinger. He's probably not the first to use it, but he introduced it to me, so he gets the credit. In a single sentence, backchaining to local search is the idea of looking at how a problem of alignment could appear through local search (think gradient descent). So it starts with a certain problem (say reward tampering), and then tries to create a context where the usual training process in ML (local search) could create a system suffering from this problem. It’s an instance of backchaining in general, which just looks for how a problem could appear in practice. Backchaining to local search has two main benefits:  * It helps decide whether this specific problem is something we should worry    about.  * It forces you to consider your problem from a local search perspective,    instead of the more intuitive human/adversarial perspective (how would I mess    this up?). Let's look at a concrete example: reward gaming (also called specification gaming). To be even more concrete, we have a system with a camera and other sensors, and its goal is to maximize the amount of time when my friend Tom smiles, as measured through a loss function that captures whether the camera sees Tom smiling. The obvious (for us) way to do reward gaming here is to put a picture of Tom’s smiling face in front of the camera -- then the loss function is minimized. The backchaining to local search technique applied to this example asks ""How can I get this reward gaming behavior by local search?"" Well this reward gaming strategy is probably a local minima for the loss function (as changing just a little the behavior would increase the loss significantly), so local search could find it and stay in there. It's also better than most simple strategies, as ensuring that someone smiles (not necessarily a good goal, mind you) requires rather complex actions in the world (like going full ""Joker"" on",2020-09-18,2022-01-30 04:48:47,2022-01-30 04:48:47,2021-11-07 22:33:47,,,,,,,,,,,,,,,,,,,,,ZSCC: NoCitationData[s0]  ACC: N/A,,/Users/jacquesthibodeau/Zotero/storage/74AE9R4X/the-backchaining-to-local-search-technique-in-ai-alignment.html,,UnsortedSafety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQ9D7WK8,blogPost,2020,"Ngo, Richard",Shaping safer goals,AI Alignment Forum,,,,https://www.alignmentforum.org/s/boLPsyNwd6teK5key,A community blog devoted to technical AI alignment research,2020-07-01,2022-01-30 04:48:47,2022-01-30 04:48:47,2021-11-07 22:49:04,,,,,,,,,,,,,,,,,,,,,ZSCC: NoCitationData[s0]  ACC: N/A,,/Users/jacquesthibodeau/Zotero/storage/VCMH6DTH/boLPsyNwd6teK5key.html,,UnsortedSafety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79Z4M7BF,blogPost,2020,"Turner, Alex",Non-Obstruction: A Simple Concept Motivating Corrigibility,AI Alignment Forum,,,,https://www.alignmentforum.org/posts/Xts5wm3akbemk4pDa/non-obstruction-a-simple-concept-motivating-corrigibility,"Thanks to Mathias Bonde, Tiffany Cai, Ryan Carey, Michael Cohen, Joe Collman, Andrew Critch, Abram Demski, Michael Dennis, Thomas Gilbert, Matthew Graves, Koen Holtman, Evan Hubinger, Victoria Krakovna, Amanda Ngo, Rohin Shah, Adam Shimi, Logan Smith, and Mark Xu for their thoughts. Main claim: corrigibility’s benefits can be mathematically represented as a counterfactual form of alignment. Overview: I’m going to talk about a unified mathematical frame I have for understanding corrigibility’s benefits, what it “is”, and what it isn’t. This frame is precisely understood by graphing the human overseer’s ability to achieve various goals (their attainable utility (AU) landscape). I argue that corrigibility’s benefits are secretly a form of counterfactual alignment (alignment with a set of goals the human may want to pursue). A counterfactually aligned agent doesn't have to let us literally correct it. Rather, this frame theoretically motivates why we might want corrigibility anyways. This frame also motivates other AI alignment subproblems, such as intent alignment, mild optimization, and low impact. NOMENCLATURE Corrigibility goes by a lot of concepts: “not incentivized to stop us from shutting it off”, “wants to account for its own flaws”, “doesn’t take away much power from us”, etc. Named by Robert Miles, the word ‘corrigibility’ means “able to be corrected [by humans]."" I’m going to argue that these are correlates of a key thing we plausibly actually want from the agent design, which seems conceptually simple. In this post, I take the following common-language definitions:  * Corrigibility: the AI literally lets us correct it (modify its policy), and    it doesn't manipulate us either. * Without both of these conditions, the AI's       behavior isn't sufficiently constrained for the concept to be useful.       Being able to correct it is small comfort if it manipulates us into making       the modifications it wants. An AI which is only non-manipulative doesn'",2020,2022-01-30 04:48:46,2022-01-30 04:48:46,2021-11-13 15:28:56,,,,,,,Non-Obstruction,,,,,,,,,,,,,,ZSCC: NoCitationData[s0]  ACC: N/A,,/Users/jacquesthibodeau/Zotero/storage/8IPMHT9D/non-obstruction-a-simple-concept-motivating-corrigibility.html,,UnsortedSafety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
